t_s z_m c_kg_per_m3 X_kg_per_kg
7.518796992481202324e+01 3.500000000000000333e-01 4.118455498032542593e-05 1.436321983116501686e-06
7.518796992481202324e+01 3.599999999999999867e-01 3.916617925361094151e-05 1.305944183897369508e-06
7.518796992481202324e+01 3.699999999999999956e-01 3.731346977885394698e-05 1.191221582474630535e-06
7.518796992481202324e+01 3.800000000000000044e-01 3.560823018310869356e-05 1.089872795437111384e-06
7.518796992481202324e+01 3.900000000000000133e-01 3.403470345153652966e-05 1.000001148657619535e-06
7.518796992481202324e+01 4.000000000000000222e-01 3.257919213798305574e-05 9.200218285993169601e-07
7.518796992481202324e+01 4.100000000000000311e-01 3.122974514821377084e-05 8.486042082063167185e-07
7.518796992481202324e+01 4.199999999999999845e-01 2.997589823383788526e-05 7.846259220200739224e-07
7.518796992481202324e+01 4.299999999999999933e-01 2.880845803194454876e-05 7.271360935719520628e-07
7.518796992481202324e+01 4.400000000000000022e-01 2.771932157578278709e-05 6.753257337652304021e-07
7.518796992481202324e+01 4.500000000000000111e-01 2.670132483059316629e-05 6.285037894872502798e-07
7.518796992481202324e+01 4.600000000000000200e-01 2.574811508428408733e-05 5.860776683248445225e-07
7.518796992481202324e+01 4.700000000000000289e-01 2.485404302664059279e-05 5.475373277494607170e-07
7.518796992481202324e+01 4.799999999999999822e-01 2.401407114478585399e-05 5.124422170805492302e-07
7.518796992481202324e+01 4.899999999999999911e-01 2.322369569351723689e-05 4.804105136938332810e-07
7.518796992481202324e+01 5.000000000000000000e-01 2.247888000269483312e-05 4.511102129096221661e-07
7.518796992481202324e+01 5.100000000000000089e-01 2.177599728754056157e-05 4.242517223390369050e-07
7.518796992481202324e+01 5.200000000000000178e-01 2.111178145269312461e-05 3.995816825577091990e-07
7.518796992481202324e+01 5.300000000000000266e-01 2.048328464357298764e-05 3.768777915798117916e-07
7.518796992481202324e+01 5.400000000000000355e-01 1.988784051181545606e-05 3.559444543047568494e-07
7.518796992481202324e+01 5.500000000000000444e-01 1.932303233524278801e-05 3.366091126110003371e-07
7.518796992481202324e+01 5.600000000000000533e-01 1.878666527490059092e-05 3.187191391355659139e-07
7.518796992481202324e+01 5.700000000000000622e-01 1.827674216826927382e-05 3.021391995745761015e-07
7.518796992481202324e+01 5.799999999999999600e-01 1.779144235378993640e-05 2.867490057751057025e-07
7.518796992481202324e+01 5.899999999999999689e-01 1.732910310120440594e-05 2.724413958922120446e-07
7.518796992481202324e+01 5.999999999999999778e-01 1.688820328801170388e-05 2.591206891760539103e-07
7.518796992481202324e+01 6.099999999999999867e-01 1.646734901707930951e-05 2.467012720935858784e-07
7.518796992481202324e+01 6.199999999999999956e-01 1.606526091612629287e-05 2.351063799143258365e-07
7.518796992481202324e+01 6.300000000000000044e-01 1.568076289801987875e-05 2.242670439436272375e-07
7.518796992481202324e+01 6.400000000000000133e-01 1.531277219291411889e-05 2.141211795399012651e-07
7.518796992481202324e+01 6.500000000000000222e-01 1.496029049027675506e-05 2.046127941188453675e-07
7.518796992481202324e+01 6.600000000000000311e-01 1.462239605164939405e-05 1.956912976966672024e-07
7.518796992481202324e+01 6.700000000000000400e-01 1.429823667428541750e-05 1.873109012916932791e-07
7.518796992481202324e+01 6.800000000000000488e-01 1.398702340219075188e-05 1.794300907971095879e-07
7.518796992481202324e+01 6.900000000000000577e-01 1.368802489502778464e-05 1.720111658445517831e-07
7.518796992481202324e+01 7.000000000000000666e-01 1.340056237722397782e-05 1.650198347674939178e-07
7.518796992481202324e+01 7.099999999999999645e-01 1.312400509979154553e-05 1.584248581026292435e-07
7.518796992481202324e+01 7.199999999999999734e-01 1.285776625606766644e-05 1.521977341814842059e-07
7.518796992481202324e+01 7.299999999999999822e-01 1.260129930006358968e-05 1.463124213013477589e-07
7.518796992481202324e+01 7.399999999999999911e-01 1.235409462254983724e-05 1.407450917538277908e-07
7.518796992481202324e+01 7.500000000000000000e-01 1.211567654555374592e-05 1.354739136565099999e-07
7.518796992481202324e+01 7.600000000000000089e-01 1.188560060075282576e-05 1.304788570981885860e-07
7.518796992481202324e+01 7.700000000000000178e-01 1.166345106140191675e-05 1.257415215878527749e-07
7.518796992481202324e+01 7.800000000000000266e-01 1.144883870104783541e-05 1.212449822059708700e-07
7.518796992481202324e+01 7.900000000000000355e-01 1.124139875542099093e-05 1.169736522046852808e-07
7.518796992481202324e+01 8.000000000000000444e-01 1.104078906663127858e-05 1.129131601013329451e-07
7.518796992481202324e+01 8.100000000000000533e-01 1.084668839117636727e-05 1.090502395644754157e-07
7.518796992481202324e+01 8.200000000000000622e-01 1.065879485535610027e-05 1.053726306105326211e-07
7.518796992481202324e+01 8.300000000000000711e-01 1.047682454350693566e-05 1.018689908173690335e-07
7.518796992481202324e+01 8.399999999999999689e-01 1.030051020607199427e-05 9.852881542348097662e-08
7.518796992481202324e+01 8.499999999999999778e-01 1.012960007593002939e-05 9.534236532183057353e-08
7.518796992481202324e+01 8.599999999999999867e-01 9.963856782657254943e-06 9.230060207892152655e-08
7.518796992481202324e+01 8.699999999999999956e-01 9.803056355504607565e-06 8.939512921536588798e-08
7.518796992481202324e+01 8.800000000000000044e-01 9.646987306861842931e-06 8.661813907595919139e-08
7.518796992481202324e+01 8.900000000000000133e-01 9.495449788863343779e-06 8.396236469707535056e-08
7.518796992481202324e+01 9.000000000000000222e-01 9.348254816570744698e-06 8.142103614876690771e-08
7.518796992481202324e+01 9.100000000000000311e-01 9.205223551852479330e-06 7.898784088913360245e-08
7.518796992481202324e+01 9.200000000000000400e-01 9.066186642679001248e-06 7.665688772106733901e-08
7.518796992481202324e+01 9.300000000000000488e-01 8.930983613050432634e-06 7.442267398681402577e-08
7.518796992481202324e+01 9.400000000000000577e-01 8.799462299145457497e-06 7.228005567443158482e-08
7.518796992481202324e+01 9.500000000000000666e-01 8.671478326945793018e-06 7.022422013384877963e-08
7.518796992481202324e+01 9.599999999999999645e-01 8.546894618959996676e-06 6.825066100705016753e-08
7.518796992481202324e+01 9.699999999999999734e-01 8.425580826287312693e-06 6.635515359569905481e-08
7.518796992481202324e+01 9.799999999999999822e-01 8.307411523453668993e-06 6.453371285761153003e-08
7.518796992481202324e+01 9.899999999999999911e-01 8.192249767696914041e-06 6.278233317325631737e-08
7.518796992481202324e+01 1.000000000000000000e+00 8.079761297872361584e-06 6.109422209042414429e-08
1.503759398496240465e+02 0.000000000000000000e+00 7.300000000000000065e-03 0.000000000000000000e+00
1.503759398496240465e+02 1.000000000000000021e-02 5.402445902234641675e-03 4.748177043585556298e-03
1.503759398496240465e+02 2.000000000000000042e-02 4.051949959867726103e-03 3.352045634971058917e-03
1.503759398496240465e+02 2.999999999999999889e-02 3.084302421651094819e-03 2.372784895279602801e-03
1.503759398496240465e+02 4.000000000000000083e-02 2.384680786017327313e-03 1.686359207913762500e-03
1.503759398496240465e+02 5.000000000000000278e-02 1.873138838344812727e-03 1.205302007318660327e-03
1.503759398496240465e+02 5.999999999999999778e-02 1.494248021133687352e-03 8.679368562248868145e-04
1.503759398496240465e+02 7.000000000000000666e-02 1.209677885645046814e-03 6.308414556358692441e-04
1.503759398496240465e+02 8.000000000000000167e-02 9.929052577705922873e-04 4.635504565897464449e-04
1.503759398496240465e+02 8.999999999999999667e-02 8.254891312395511247e-04 3.447957907231288008e-04
1.503759398496240465e+02 1.000000000000000056e-01 6.944937803498754496e-04 2.598123313029994104e-04
1.503759398496240465e+02 1.100000000000000006e-01 5.907367193834442160e-04 1.983985186639366084e-04
1.503759398496240465e+02 1.199999999999999956e-01 5.076117789555754326e-04 1.535254912380107774e-04
1.503759398496240465e+02 1.300000000000000044e-01 4.403015467693579643e-04 1.203502749878644271e-04
1.503759398496240465e+02 1.400000000000000133e-01 3.852478078576927084e-04 9.552577678215422871e-05
